,Macro F-measure,CHI,FEM,KCHI,MAL,SPEECH
,%,,,,,
item,,,,,,
test/paido_c4at01f212,92.20634984164029,1.0,1.0,0.6370470518304419,1.0,0.9732704402515722
test/paido_c4at06m112,92.11341742515032,1.0,1.0,0.633484064049634,1.0,0.9721868072078815
test/paido_c4bt13f111,92.75986310409922,1.0,1.0,0.6654283513795147,1.0,0.9725648038254472
test/paido_c4bt18m311,91.08098884128435,1.0,1.0,0.5763183023872693,1.0,0.977731139676948
test/paido_c4bt20m221,89.53436350353749,1.0,1.0,0.5013249819320638,1.0,0.9753931932448108
test/paido_c4bt21m111,93.42221369795108,1.0,1.0,0.7048767558971657,1.0,0.9662339290003883
test/paido_c4bt24m121,92.0640549438976,1.0,1.0,0.6258056570466776,1.0,0.9773970901482025
test/paido_c5at01m322,91.92506264980655,1.0,1.0,0.6194267351920322,1.0,0.9768263972982948
test/paido_c5at02m211,91.82262325412384,1.0,1.0,0.6316734581117474,1.0,0.9594577045944453
test/paido_c5at02m212,91.04028648897584,1.0,1.0,0.5808189376084533,1.0,0.9711953868403383
test/paido_c5at03m321,93.59656492646153,1.0,1.0,0.7034809890191981,1.0,0.9763472573038785
test/paido_c5at05m311,90.42192186069529,1.0,1.0,0.5484805189790317,1.0,0.9726155740557326
test/paido_c5at05m312,89.94529968007377,1.0,1.0,0.5249054478152406,1.0,0.9723595361884485
test/paido_c5at06m112,89.98440086386054,1.0,1.0,0.5334302929565748,1.0,0.9657897502364524
test/paido_c5at11f312,91.57939963817027,1.0,1.0,0.6036737470708288,1.0,0.9752962348376847
test/paido_c5at13f122,93.45573512431298,1.0,1.0,0.6989718541141533,1.0,0.9738149021014956
test/paido_c5at14f212,90.03165435396433,1.0,1.0,0.5226436167629788,1.0,0.9789391009352374
test/paido_c5at16f112,92.09933060402577,1.0,1.0,0.6279646512277753,1.0,0.977001878973513
test/paido_c5bt23f121,92.15313708864603,1.0,1.0,0.6332249867029134,1.0,0.9744318677293878
test/paido_c5bt23f122,89.66706388378569,1.0,1.0,0.5091561938958715,1.0,0.9741970002934124
test/paido_c5bt25m222,93.50366327156267,1.0,1.0,0.7026783259088164,1.0,0.9725048376693175
test/paido_e2at06m322,91.03863819949265,1.0,1.0,0.5802232191973401,1.0,0.9717086907772922
test/paido_e2at07m312,91.1467604783715,1.0,1.0,0.5811855462130631,1.0,0.9761524777055123
test/paido_e2at10m212,92.55671878538004,1.0,1.0,0.6554922082858221,1.0,0.9723437309831805
test/paido_e2bt11m221,71.77870625400269,0.0,1.0,0.6092139268809726,1.0,0.9797213858191619
test/paido_e2bt12f112,92.7668510754855,1.0,1.0,0.664788732394367,1.0,0.9735538213799081
test/paido_e2bt13m312,94.40616442784571,1.0,1.0,0.7519218229075756,1.0,0.9683863984847092
test/paido_e2bt14f321,89.94750779070303,1.0,1.0,0.5293538461538477,1.0,0.9680215433813034
test/paido_e2bt18m112,71.52144373725697,0.0,1.0,0.6134342181138273,1.0,0.9626379687490212
